name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CountCurrying,9.358516544110177,6.6688589636059445,34.552410112457,44.32337459757414,0.030336957941510083,0.045137727532187796
CountFunctionCalls,13.766011912696575,4.9681886163517905,38.50502220860273,41.955766166384834,0.06561773298591644,0.041340586543900874
CountFunctionParameters,12.064299333498946,4.605635326909639,24.506103607787804,19.394255790873288,0.06655378686968982,0.0743359551163815
CountFunctions,13.911718470784123,2.964870166544637,42.317893719982344,5.27366642412494,0.12974752392652916,0.04053746340453228
CountHigherOrderCalls,14.627928565576758,5.634578616060911,37.659934797411005,9.505207882407849,0.12359397110990411,0.05045580645033866
CountInnerVariableAssignment,16.4636002155335,6.998760804115276,7.057886079753605,6.029457412092042,0.03855079367622771,0.036597247109780164
CountLazyValues,12.498048878910135,5.971008685434105,31.766377161318673,46.4072628085643,0.02429278869466311,0.027134654359597978
CountNestedDepth,11.17226112734779,4.086132739085764,30.601669279407396,46.60738368952805,0.02832359358931196,0.01229728885896203
CountNestedMethods,14.397170960568065,5.867897216467573,11.467039056914164,5.405725621352842,0.05835177902106612,0.042506475431831704
CountOuterVariableAssignment,10.39742758245504,5.231260985744368,61.33880769196464,48.154871453334394,0.033845788895743564,0.04588594257946691
CountOuterVariableUsage,18.194233573100718,15.09050967957974,48.33637811280708,48.40985332343633,0.06262383421548791,0.03992204250210006
CountParameterLists,13.096652323533922,6.67610972535977,42.376764624627015,26.512455448932617,0.09887251960377472,0.07413515172388835
CountPatternMatching,15.075753597868824,4.119174059020115,32.15029051888143,8.873980696899226,0.12167632612194655,0.03961054346599798
CountRecursiveCalls,9.158052785129186,4.214774445538954,45.52952378029733,49.49534823791071,0.014953823156964871,0.018574760018731953
CountSideEffectCalls,15.892532010450996,2.7517400610363167,31.053608614770628,30.373824424045168,0.106162568812582,0.0439946313616335
CountSideEffectFunctions,16.197449775604877,12.181885436504357,20.80783499915995,30.864807715716985,0.045373877429151055,0.07104300710054837
CountSideEffects,16.045393896266745,3.4576806895900494,32.95999692803139,20.98050069690749,0.11233205926160562,0.0459872275868724
CountVariableDefinitions,16.480393236326,8.245461065767593,18.8655552765103,35.39869730253534,0.038047843899362506,0.03242059349378437
CountVariables,17.949336267610835,8.196650219429905,22.85579338196319,34.42584142088928,0.0695695541618621,0.04174895223944118
FunctionalScoreCount,14.761048291576445,3.874844782476608,47.53250783818508,6.835124242210886,0.154759561762092,0.031804741287168266
HasPointsCount,10.425385786117578,2.771954733988326,80.56043216582313,10.422556702112654,0.12959078298574553,0.036253980006586105
ImperativeScoreCount,15.941603938285942,3.1963512361581508,35.900818108623646,27.169385032747766,0.12133535973029373,0.024089614984876644
IsFunction,10.158529034702406,3.082629664091785,61.842931556289805,47.98072520225402,0.03859629393705199,0.01987158177085918
IsSideEffect,10.3703613951604,3.949990420573221,46.34379077772284,38.963941201332595,0.04455764821582799,0.041428571423333935
ParadigmScoreCount,10.134225836048602,3.7670956945352065,58.82783316567678,13.51576782663445,0.08694347311476978,0.05335480438804387
