name,count,mean,std,min,25%,50%,75%,max
FanOut,74,9.41891891891892,3.495620574206425,2.0,8.0,8.0,12.0,26.0
FanIn,74,0.9054054054054054,1.776320029469259,0.0,0.0,0.0,1.0,7.0
CouplingBetweenObjects,74,9.986486486486486,3.6881641245210237,2.0,8.0,9.0,12.0,26.0
DepthOfInheritance,74,1.0945945945945945,0.9387972328218394,0.0,0.0,1.0,2.0,4.0
LackOfCohesionInMethods,74,1.9054054054054055,2.483749479563238,0.0,0.25,2.0,3.0,16.0
LinesOfCode,74,17.445945945945947,29.03853929111142,4.0,6.25,7.0,13.75,210.0
SourceLinesOfCode,74,15.08108108108108,24.17332207589839,4.0,6.0,7.0,12.5,191.0
CommentLinesOfCode,74,0.9054054054054054,3.0076109798306323,0.0,0.0,0.0,0.0,20.0
CommentDensity,74,0.03833776407305819,0.08319178660119801,0.0,0.0,0.0,0.0,0.3
NumberOfChildren,74,0.05405405405405406,0.3265381679380311,0.0,0.0,0.0,0.0,2.0
ResponseForClass,74,7.054054054054054,6.313481751985553,1.0,4.0,5.0,7.0,35.0
WeightedMethodCount,74,3.972972972972973,4.943441685495003,1.0,2.0,2.0,3.75,25.0
CyclomaticComplexity,74,1.6486486486486487,1.731516339445075,1.0,1.0,1.0,2.0,15.0
DepthOfNesting,74,0.1891891891891892,0.8548920572040465,0.0,0.0,0.0,0.0,7.0
OutDegree,74,4.22972972972973,5.848655851425959,1.0,1.0,2.0,4.75,32.0
OutDegreeDistinct,74,3.527027027027027,4.335969256869772,1.0,1.0,2.0,4.0,32.0
PatternSize,74,0.28378378378378377,1.6429198053638283,0.0,0.0,0.0,0.0,14.0
NumberOfPatternVariables,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
