name,count,mean,std,min,25%,50%,75%,max
FanOut,386,20.1139896373057,17.53415845920812,1.0,10.0,17.0,24.0,181.0
FanIn,386,5.5880829015544045,23.659242458662636,0.0,0.0,1.0,3.0,231.0
CouplingBetweenObjects,386,25.39896373056995,33.99879904622653,1.0,11.0,18.5,28.0,399.0
DepthOfInheritance,386,0.8160621761658031,1.195163863685289,0.0,0.0,0.0,2.0,7.0
LackOfCohesionInMethods,386,2.1658031088082903,3.282139229948896,0.0,0.0,2.0,3.0,34.0
LinesOfCode,386,52.329015544041454,91.33422588629692,4.0,16.0,29.0,56.0,1348.0
SourceLinesOfCode,386,42.15544041450777,57.41117755269743,4.0,15.0,25.0,47.0,645.0
CommentLinesOfCode,386,9.619170984455959,41.38369771677666,0.0,0.0,1.0,7.0,691.0
CommentDensity,386,0.10119725827440774,0.1480809318047318,0.0,0.0,0.026631393298059962,0.16447368421052633,0.8098159509202454
NumberOfChildren,386,0.46113989637305697,2.202664913970192,0.0,0.0,0.0,0.0,32.0
ResponseForClass,386,15.681347150259068,18.99622694590882,1.0,6.0,11.0,18.0,231.0
WeightedMethodCount,386,4.619170984455959,9.732128894411625,0.0,0.0,3.0,5.0,151.0
CyclomaticComplexity,386,1.7172294037290181,1.3151800321009142,1.0,1.0,1.25,2.0,11.75
DepthOfNesting,386,1.3080448732331809,2.3258720601520904,0.0,0.0,0.0,1.96875,16.0
OutDegree,386,7.524774886317594,10.098135533614066,0.0,2.25,4.666666666666667,8.229166666666666,104.0
OutDegreeDistinct,386,3.8883587626117424,3.698934647376581,0.0,1.6666666666666667,3.0,4.9772727272727275,31.0
PatternSize,386,2.5901971002250277,5.958313019702,0.0,0.0,0.0,2.25,39.1578947368421
NumberOfPatternVariables,386,0.5979361836491367,1.4082770689028963,0.0,0.0,0.0,0.5,9.5
