name,count,mean,std,min,25%,50%,75%,max
FanOut,30,9.733333333333333,4.755637912417533,2.0,8.0,8.5,11.75,26.0
FanIn,30,1.4333333333333333,2.0457413011581806,0.0,0.0,0.5,1.75,7.0
CouplingBetweenObjects,30,10.866666666666667,4.953113498935123,2.0,8.0,11.0,12.75,26.0
DepthOfInheritance,30,0.6,1.0372377109252813,0.0,0.0,0.0,1.0,4.0
LackOfCohesionInMethods,30,2.066666666666667,3.6571454228234024,0.0,1.0,1.0,1.0,16.0
LinesOfCode,30,31.9,42.06755650551654,4.0,7.5,17.0,31.0,210.0
SourceLinesOfCode,30,26.433333333333334,35.43005088547188,4.0,6.25,15.0,30.5,191.0
CommentLinesOfCode,30,1.8,4.4982755316477325,0.0,0.0,0.0,0.75,20.0
CommentDensity,30,0.05414230443135108,0.10154961639247888,0.0,0.0,0.0,0.03333333333333334,0.3
NumberOfChildren,30,0.13333333333333333,0.5074162634049248,0.0,0.0,0.0,0.0,2.0
ResponseForClass,30,10.866666666666667,8.512600531922777,1.0,4.0,7.5,17.0,35.0
WeightedMethodCount,30,6.333333333333333,7.188752389638986,1.0,1.0,3.0,9.0,25.0
CyclomaticComplexity,30,1.4277729677729676,0.5306599837806277,1.0,1.0,1.0681818181818183,2.0,2.6666666666666665
DepthOfNesting,30,0.045622895622895614,0.16616975909202286,0.0,0.0,0.0,0.0,0.7777777777777778
OutDegree,30,3.464501405027721,2.0046917824661987,1.0,2.085714285714286,3.25,4.0,10.5
OutDegreeDistinct,30,3.101875142401459,1.559800675530796,1.0,2.0,3.0,4.0,8.5
PatternSize,30,0.07154882154882154,0.2950418166317141,0.0,0.0,0.0,0.0,1.5555555555555556
NumberOfPatternVariables,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
