name,precision,recall,mcc
LambdaFunctionsUsingInnerVariables,70.0,67.61363636363636,0.36777587090200564
LambdaFunctionsUsingInnerVariables baseline,67.57246376811594,63.06818181818181,0.31143834731399456
LambdaFunctionsUsingOuterVariables,71.04606308146131,77.23262032085562,0.5053514563526766
LambdaFunctionsUsingOuterVariables baseline,70.26627218934911,76.35026737967915,0.4918092207258684
LambdaFunctionsWithAssignment,76.3538589714459,79.69481605351172,0.39813964440696475
LambdaFunctionsWithAssignment baseline,76.19092202831249,79.61538461538461,0.3789390125949738
LambdaFunctionsWithSideEffects,70.83333333333334,66.07142857142857,0.30981732461016864
LambdaFunctionsWithSideEffects baseline,71.1111111111111,65.3061224489796,0.3211681930280396
LambdaScore,64.16666666666667,66.3793103448276,0.4498797911059329
LambdaScore baseline,64.35331230283911,66.66666666666666,0.4593993384085201
NumberOfLambdaFunctions,65.20376175548589,66.3793103448276,0.4524385106773383
NumberOfLambdaFunctions baseline,64.35331230283911,66.66666666666666,0.4593993384085201
SourceLinesOfLambda,66.10169491525424,67.24137931034483,0.4561690280201409
SourceLinesOfLambda baseline,64.35331230283911,66.66666666666666,0.4593993384085201
